Number,Name,Address,Latitude,Longitude
3036,03036 - FELIX FAURE / VIVIER MERLE,AVENUE FELIX FAURE ANGLE VIVIER MERLE. 10M AVANT VIVIER MERLE EN DIRECTION DU RHONE,45.75381,4.859795
10073,10073 - INSTITUT D'ART CONTEMPORAIN,Rue Docteur Dolard / Angle rue 4 Septembre,45.761468,4.872466
2035,2035 - CHILDEBERT / RIVIÈRE,,45.759842,4.835776
9014,9014 - QUAI DU COMMERCE,Angle rue Emile Duport,45.784334,4.812215
3097,3097 - AUGAGNEUR / FOSSE AUX OURS (FAR),,45.757192,4.840495
9022,9022 - RUE MASARYK / SAINT CYR,Angle rue Chinard/rue St Cyr,45.778639,4.8071
10112,10112 - PLACE DE LA RECONNAISSANCE,,45.754415,4.885249
4024,04024 - LYON METROPOLE,FACE AU 81 QUAI JOSEPH GILLET,45.788204,4.818572
8041,8041 - ETATS UNIS / VIVIANI,170 Boulevard des Etats-Unis, Angle Avenue Viviani, direction Venissieux,45.724775,4.870745
1005,1005 - MEISSONNIER,Place Meissonier - Angle Sud-Est de la place,45.766073,4.832849
6040,6040 - LES HALLES,,45.764013,4.849933
2022,2022 - PLACE CARNOT,Angle rue Plessier,45.751233,4.82688
4014,4014 - PHILIPPE DE LASSALLE / PILLEMENT,Angle rue Pillement,45.777431,4.820526
8001,8001 - UNIVERSITÉ LYON III (FAR),Devant entrée principale de l'université,45.748535,4.861533
3005,3005 - SAXE-GAMBETTA (FAR),Place Victor Basch,45.75377,4.848043
10121,10121 - PARC DU CENTRE,ANGLE RUE BILLON / RUE F. DE PRESSENSE,45.771912,4.87907
10058,10058 - MÉTRO FLACHET,,45.767051,4.892467
7055,7055 - SERVANT / JABOULAY,,45.746779,4.842051
10084,10084 - DOUA / AVENUE DES ARTS,,45.783533,4.871294
8053,8053 - LUMIERE / TROUILHET,,45.743569,4.870083
4042,4042 - GREGORY COUPET,,45.781699,4.820596
6021,6021- GARIBALDI,Entre rue Crillon et rue Sully,45.770664,4.849946
5053,5053 - SAINT JUST,,45.75597,4.818904
2037,2037 - PLACE DES ARCHIVES,,45.747956,4.824898
